

1559487801.454599300  Node Startup
1559487805.795106700 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487805.795180500 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487805.795192000 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487805.828527800 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487805.828596800 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487805.828612800 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487805.861801300 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487805.861905400 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487805.861934400 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487805.895124200 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
